Weekdays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round trip no. ,10: H.J. Rinksvej,11: Rasmuuseeqqap Aqq.,12: Kuussuaq,13: Nuup Qeqqa,14: Katersortarfik,15: N.I.,16. Qatseritsut,17. Sarfannguit,18. Akunnerit,35: Qernertunnguanut,1: Eqalugalinnguit,2: Nunngarut,59: Narsarviaq,3: Illorput,4: Nigerleq,5: Sangoriaq,6: Nuniaffik,36: Atertaq,37: Ilimmarfik,38: Nukappiakuluk,67: Isertitsiviit,39: Napasuliaq,40: Air Greenland adm:,66: Mittarfik / Lufthavn,64. Pukuffik,46. Qattaaq,8: Paarnat,35: Qernertunnguanut,9: Eqalugalinnguit Tasiat
1,8:16:00,8:18:00,8:19:00,8:22:00,8:23:00,8:24:00,8:26:00,8:28:00,8:30:00,8:33:00,8:37:00,8:39:00,8:40:00,8:41:00,8:43:00,8:45:00,8:47:00,8:49:00,8:51:00,8:52:00,8:55:00,8:58:00,8:59:00,9:01:00,9:05:00,9:06:00,9:08:00,9:11:00,9:13:00
2,9:16:00,9:18:00,9:19:00,9:22:00,9:23:00,9:24:00,9:26:00,9:28:00,9:30:00,9:33:00,9:37:00,9:39:00,9:40:00,9:41:00,9:43:00,9:45:00,9:47:00,9:49:00,9:51:00,9:52:00,9:55:00,9:58:00,9:59:00,10:01:00,10:05:00,10:06:00,10:08:00,10:11:00,10:13:00
3,10:16:00,10:18:00,10:19:00,10:22:00,10:23:00,10:24:00,10:26:00,10:28:00,10:30:00,10:33:00,10:37:00,10:39:00,10:40:00,10:41:00,10:43:00,10:45:00,10:47:00,10:49:00,10:51:00,10:52:00,10:55:00,10:58:00,10:59:00,11:01:00,11:05:00,11:06:00,11:08:00,11:11:00,11:13:00
4,11:16:00,11:18:00,11:19:00,11:22:00,11:23:00,11:24:00,11:26:00,11:28:00,11:30:00,11:33:00,11:37:00,11:39:00,11:40:00,11:41:00,11:43:00,11:45:00,11:47:00,11:49:00,11:51:00,11:52:00,11:55:00,11:58:00,11:59:00,12:01:00,12:05:00,12:06:00,12:08:00,12:11:00,12:13:00
5,12:26:00,12:28:00,12:29:00,12:32:00,12:33:00,12:34:00,12:36:00,12:38:00,12:40:00,12:43:00,12:47:00,12:49:00,12:50:00,12:51:00,12:53:00,12:55:00,12:57:00,12:59:00,13:01:00,13:02:00,13:05:00,13:08:00,13:09:00,13:11:00,13:15:00,13:16:00,13:18:00,13:21:00,13:23:00
6,13:26:00,13:28:00,13:29:00,13:32:00,13:33:00,13:34:00,13:36:00,13:38:00,13:40:00,13:43:00,13:47:00,13:49:00,13:50:00,13:51:00,13:53:00,13:55:00,13:57:00,13:59:00,14:01:00,14:02:00,14:05:00,14:08:00,14:09:00,14:11:00,14:15:00,14:16:00,14:18:00,14:21:00,14:23:00
7,14:26:00,14:28:00,14:29:00,14:32:00,14:33:00,14:34:00,14:36:00,14:38:00,14:40:00,14:43:00,14:47:00,14:49:00,14:50:00,14:51:00,14:53:00,14:55:00,14:57:00,14:59:00,15:01:00,15:02:00,15:05:00,15:08:00,15:09:00,15:11:00,15:15:00,15:16:00,15:18:00,15:21:00,15:23:00
8,15:26:00,15:28:00,15:29:00,15:32:00,15:33:00,15:34:00,15:36:00,15:38:00,15:40:00,15:43:00,15:47:00,15:49:00,15:50:00,15:51:00,15:53:00,15:55:00,15:57:00,15:59:00,16:01:00,16:02:00,16:05:00,16:08:00,16:09:00,16:11:00,16:15:00,16:16:00,16:18:00,16:21:00,16:23:00
9,16:26:00,16:28:00,16:29:00,16:32:00,16:33:00,16:34:00,16:36:00,16:38:00,16:40:00,16:43:00,16:47:00,16:49:00,16:50:00,16:51:00,16:53:00,16:55:00,16:57:00,16:59:00,17:01:00,17:02:00,17:05:00,17:08:00,17:09:00,17:11:00,17:15:00,17:16:00,17:18:00,17:21:00,17:23:00